application_no,publication_no,registration_no,title,applicant,application_date,publication_date,registration_date,status,abstract,representative_claim,ipc,cpc,drawing_url,kipris_url,technology_group
"10-2018-0112345","10-2020-0192345","","더블월 중공부 콘크리트 충전용 유동화 배합 및 품질관리 방법","서울도시건설(주)","2018-05-21","2020-02-03","","공개","더블월 중공부에 충전되는 콘크리트의 유동성 확보를 위한 배합 및 충전 품질관리 방법이다. 플로우 시험 기준과 충전 높이별 검측 절차를 규정하여 미충전 결함을 줄이는 효과가 있다.","더블월 중공부 충전용 콘크리트의 플로우 값을 측정하는 단계와 충전 높이를 단계별로 검측하는 단계를 포함하는 더블월 충전 품질관리 방법.","E04B 2/86, G01N 11/00","E04B 2/86","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020180112345","품질관리"
"10-2019-0012345","10-2020-0102345","10-2212345","프리캐스트 중공기둥용 내부 거푸집 회수 장치","한국몰드엔지니어링(주)","2019-02-07","2020-08-19","2021-03-05","등록","중공기둥 제작 시 중공부를 형성하는 내부 거푸집을 양생 후 회수하는 장치이다. 공기압으로 수축되는 튜브형 내부 거푸집을 사용하여 회수가 용이하고 재사용이 가능한 효과가 있다.","중공부 형성용 튜브형 내부 거푸집과 상기 거푸집에 공기를 주입 및 배출하는 공압장치를 포함하는 중공기둥용 내부 거푸집 회수 장치.","B28B 7/30, E04G 11/00","B28B 7/30","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020190012345","몰드"
"10-2019-0023456","10-2020-0113456","10-2223456","PC 기둥 수직도 자동 계측 센서 시스템","스마트컨스트럭션(주)","2019-04-12","2020-10-26","2021-05-14","등록","PC 기둥 설치 시 수직도를 실시간 계측하는 센서 시스템이다. 기둥 상부에 부착된 기울기 센서가 무선으로 데이터를 전송하여 크레인 거치 중 수직도를 즉시 보정할 수 있는 효과가 있다.","PC 기둥에 탈착 가능하게 부착되는 기울기 센서 모듈과 계측값을 무선 전송하는 통신부 및 수직도를 표시하는 단말을 포함하는 PC 기둥 수직도 계측 시스템.","G01C 9/00, E04G 21/18","G01C 9/00","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020190023456","센서"
"10-2019-0034567","10-2021-0124567","","프리캐스트 부재 양생용 증기 공급 자동제어 방법","피씨스마트팩토리(주)","2019-06-25","2021-01-11","","공개","PC 공장에서 부재 양생 시 증기 공급을 온도 이력에 따라 자동 제어하는 방법이다. 양생 온도 센서 데이터를 기반으로 증기밸브를 제어하여 에너지를 절감하고 초기강도 품질 편차를 줄이는 효과가 있다.","양생실 내 온도를 측정하는 단계와 측정 온도와 목표 양생곡선의 편차에 따라 증기 공급량을 제어하는 단계를 포함하는 프리캐스트 부재 양생 자동제어 방법.","B28B 11/24, G05D 23/19","B28B 11/24","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020190034567","생산방법"
"10-2019-0045678","10-2021-0135678","10-2245678","중공기둥 접합부용 선매립 앵커 어셈블리","대한건설기술연구원","2019-08-30","2021-03-22","2021-09-10","등록","중공기둥 하단에 선매립되는 앵커 어셈블리로 기초와의 접합을 신속하게 하는 구조이다. 앵커볼트 위치 조절판을 두어 시공 오차를 흡수하고 무지보 자립이 가능한 효과가 있다.","중공기둥 하단부에 매립되는 베이스플레이트와 위치 조절이 가능한 앵커볼트 결합공을 포함하는 중공기둥 접합부용 선매립 앵커 어셈블리.","E04B 1/41, E02D 27/42","E04B 1/41","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020190045678","접합부"
"10-2020-0056789","10-2021-0146789","10-2356789","더블월과 슬래브의 일체형 접합 전단키 구조","지피씨홀딩스(주)","2020-01-17","2021-07-05","2022-01-21","등록","더블월 상단과 슬래브 단부가 만나는 부위에 전단키와 연결철근을 함께 배치한 접합구조이다. 벽-슬래브 접합부의 전단 및 휨 성능을 동시에 확보하여 구조 일체성이 향상되는 효과가 있다.","더블월 상단 내측에 형성된 전단키 홈과 슬래브 단부에서 연장되는 연결철근 및 접합부 충전콘크리트를 포함하는 더블월-슬래브 접합구조.","E04B 2/86, E04B 5/02","E04B 2/86","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020200056789","전단키"
"10-2020-0067890","10-2021-0157890","","PC 공장 생산라인의 몰드 순환 자동화 시스템","피씨스마트팩토리(주)","2020-03-24","2021-09-13","","공개","팔레트 순환 방식 PC 생산라인에서 몰드 세팅과 이동을 자동화하는 시스템이다. 셔틀과 횡행대차로 몰드를 공정별로 순환시켜 생산성을 높이고 인력을 절감하는 효과가 있다.","몰드가 거치되는 순환 팔레트와 공정 간 팔레트를 이송하는 셔틀 및 공정 상태를 관리하는 제어부를 포함하는 PC 생산라인 몰드 순환 시스템.","B28B 5/04, B65G 35/06","B28B 5/04","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020200067890","생산방법"
"10-2020-0078901","10-2022-0168901","10-2478901","지하구조물용 더블월의 배수판 일체형 구조","서울도시건설(주)","2020-06-11","2022-01-28","2022-08-16","등록","지하 외벽용 더블월 외측 패널에 배수판을 일체로 부착하여 별도 배수판 시공을 생략하는 구조이다. 공장에서 배수판을 선부착하여 현장 공정을 줄이고 누수 시 배수 경로를 확보하는 효과가 있다.","외측 패널 외면에 공장에서 선부착되는 배수판과 패널 하단의 집수 유도홈을 포함하는 지하구조물용 더블월 배수 일체형 구조.","E02D 31/02, E04B 1/70","E02D 31/02","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020200078901","배수"
"10-2020-0089012","10-2022-0179012","","프리캐스트 교각 기둥의 급속 시공용 결합장치","한국교량기술(주)","2020-09-08","2022-03-14","","공개","프리캐스트 교각 기둥 세그먼트를 급속 결합하는 장치이다. 세그먼트 간 전단 저항 돌기와 중앙 긴장재를 병용하여 시공 중 안정성과 내진 성능을 확보하는 효과가 있다.","교각 세그먼트 접합면의 전단 저항 돌기와 세그먼트를 관통하는 긴장재 정착장치를 포함하는 프리캐스트 교각 기둥 결합장치.","E01D 19/02, E04C 3/34","E01D 19/02","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020200089012","접합부"
"10-2021-0090123","10-2022-0190123","10-2590123","IoT 센서 내장형 PC 부재 및 구조 건전성 모니터링 시스템","스마트컨스트럭션(주)","2021-02-02","2022-08-08","2023-02-24","등록","PC 부재 제작 시 변형률 및 온습도 센서를 매립하고 사용 단계에서 구조 건전성을 원격 모니터링하는 시스템이다. 생애주기 데이터 축적으로 유지관리 의사결정을 지원하는 효과가 있다.","콘크리트 내부에 매립된 변형률 센서와 데이터를 외부로 전송하는 무선 모듈 및 계측 데이터를 분석하는 서버를 포함하는 PC 부재 건전성 모니터링 시스템.","G01M 5/00, E04B 1/00, G08C 17/02","G01M 5/0033","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020210090123","센서"
"10-2021-0101234","10-2022-0201234","10-2601234","중공 PC 기둥 내부 점검용 접근 개구 구조","대한건설기술연구원","2021-04-19","2022-10-17","2023-04-07","등록","중공기둥 내부 상태를 유지관리 단계에서 점검할 수 있도록 개폐형 점검 개구를 형성한 구조이다. 점검구 주변을 보강 철물로 보강하여 단면 손실을 보완하고 내시경 점검이 가능한 효과가 있다.","중공기둥 측면에 형성된 점검 개구와 상기 개구를 폐쇄하는 탈착식 커버 및 개구 둘레의 보강 프레임을 포함하는 중공기둥 점검 개구 구조.","E04C 3/34, E04G 23/02","E04C 3/34","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020210101234","유지관리"
"10-2021-0112345","10-2023-0212345","","PC 부재 표면 결함 AI 영상 검사 장치","한국계측기술(주)","2021-07-06","2023-01-09","","공개","탈형 직후 PC 부재 표면을 카메라로 촬영하고 인공지능 모델로 균열과 기포 등 결함을 자동 판정하는 검사 장치이다. 검사 결과를 부재 이력과 연계하여 품질관리 데이터베이스를 구축하는 효과가 있다.","PC 부재 표면을 촬영하는 카메라부와 촬영 영상에서 결함을 분류하는 인공지능 판정부 및 판정 결과를 저장하는 이력관리부를 포함하는 PC 부재 표면 결함 검사 장치.","G01N 21/88, G06T 7/00","G01N 21/88","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020210112345","품질관리"
"10-2021-0123456","10-2023-0223456","10-2723456","프리캐스트 옹벽의 배수 및 토압 저감 구조","한국토목피씨(주)","2021-09-28","2023-03-20","2023-09-15","등록","프리캐스트 옹벽 배면에 배수 유공관과 투수층을 일체화한 구조이다. 배면수를 신속히 배출하여 수압에 의한 토압 증가를 저감하고 옹벽 안정성을 높이는 효과가 있다.","옹벽 패널 배면에 형성된 배수홈과 하단 유공 배수관 및 전면 배출구를 포함하는 프리캐스트 옹벽의 배수구조.","E02D 29/02, E03F 1/00","E02D 29/02","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020210123456","배수"
"10-2022-0034567","10-2023-0234567","10-2834567","가변 단면 대응형 PC 기둥 유니버설 몰드","한국몰드엔지니어링(주)","2022-01-25","2023-07-31","2024-02-08","등록","단면 크기가 다른 PC 기둥을 하나의 몰드로 제작할 수 있는 가변형 몰드이다. 측판 위치를 단계적으로 조절하는 가이드 레일을 적용하여 몰드 제작비와 보관 공간을 절감하는 효과가 있다.","바닥판에 설치된 가이드 레일과 레일을 따라 위치 조절되어 고정되는 측판 유닛을 포함하는 가변 단면 대응형 PC 기둥 몰드.","B28B 7/02, B28B 7/00","B28B 7/02","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020220034567","몰드"
"10-2022-0045678","10-2023-0245678","","중공기둥 충전 콘크리트의 다짐 상태 비파괴 검사 방법","한국계측기술(주)","2022-04-06","2023-10-16","","공개","중공기둥 중공부에 충전된 콘크리트의 다짐 및 충전 상태를 충격반향 기법으로 비파괴 검사하는 방법이다. 측정 주파수 스펙트럼을 기준 데이터와 비교하여 미충전부를 탐지하는 효과가 있다.","중공기둥 외면에 타격을 가하는 단계와 반사파 주파수 스펙트럼을 분석하여 충전 결함을 판정하는 단계를 포함하는 충전 콘크리트 비파괴 검사 방법.","G01N 29/04, E04C 3/34","G01N 29/04","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020220045678","품질관리"
"10-2022-0056789","10-2024-0256789","10-2956789","PC 더블월 인양용 매립형 리프팅 앵커 및 인양 공법","대형건설산업(주)","2022-06-21","2024-01-08","2024-06-28","등록","더블월 패널에 선매립되는 리프팅 앵커와 이를 이용한 인양 공법이다. 앵커 매립 위치를 무게중심 해석으로 결정하여 인양 시 패널 균열을 방지하고 거치 정밀도를 높이는 효과가 있다.","더블월 상단에 매립되는 구형 헤드 리프팅 앵커와 앵커에 체결되는 클러치형 인양고리를 포함하는 더블월 인양 시스템.","B66C 1/66, E04G 21/14","B66C 1/66","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020220056789","시공장비"
"10-2022-0067890","10-2024-0267890","","프리캐스트 부재 접합부 누수 자가진단 센서 테이프","스마트컨스트럭션(주)","2022-09-14","2024-03-04","","공개","PC 부재 접합부에 부착되어 누수를 감지하는 센서 테이프이다. 수분 접촉 시 전기저항 변화를 감지하여 누수 위치를 특정하고 유지관리 시스템에 경보를 전송하는 효과가 있다.","접합부를 따라 부착되는 띠형 수분감지 센서와 저항 변화로 누수 위치를 산출하는 판독부를 포함하는 접합부 누수 자가진단 센서 테이프.","G01M 3/16, E04B 1/66","G01M 3/16","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020220067890","센서"
"10-2023-0078901","10-2024-0278901","10-3078901","중공기둥 하부 배수와 점검을 겸하는 멀티 포트 구조","지피씨홀딩스(주)","2023-02-09","2024-08-19","2025-02-14","등록","중공 PC 기둥 하부에 배수와 내부 점검 기능을 겸하는 멀티 포트를 형성한 구조이다. 평상시 배수구로 기능하고 점검 시 포트를 통해 내시경 장비를 투입할 수 있어 유지관리 효율이 향상되는 효과가 있다.","중공기둥 하단부에 형성되어 배수로와 연통되는 멀티 포트와 포트에 탈착되는 필터형 마개를 포함하는 중공기둥 하부 멀티 포트 구조.","E04C 3/34, E03F 5/04, E04G 23/02","E04C 3/34","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020230078901","배수"
"10-2023-0089012","10-2024-0289012","","탄소저감형 PC 부재 생산을 위한 혼합 시멘트 배합 및 양생 방법","피씨스마트팩토리(주)","2023-05-16","2024-11-11","","공개","고로슬래그 치환율을 높인 탄소저감형 배합으로 PC 부재를 생산하는 방법이다. 초기강도 저하를 보완하는 단계별 양생 온도 프로파일을 적용하여 생산 사이클을 유지하는 효과가 있다.","고로슬래그 미분말을 결합재 대비 일정 비율 이상 치환한 콘크리트를 타설하는 단계와 다단 온도 프로파일로 증기양생하는 단계를 포함하는 탄소저감형 PC 부재 생산방법.","B28B 11/24, C04B 28/08","C04B 28/08","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020230089012","생산방법"
"10-2023-0090123","10-2025-0290123","","드론 기반 PC 구조물 외벽 접합부 점검 시스템","스마트컨스트럭션(주)","2023-08-22","2025-02-03","","공개","드론으로 PC 외벽 접합부를 촬영하고 영상 분석으로 실링재 열화와 균열을 진단하는 점검 시스템이다. 고소 작업 없이 정기 점검이 가능하여 유지관리 비용을 절감하는 효과가 있다.","외벽 접합부를 따라 비행하며 촬영하는 드론과 촬영 영상에서 접합부 열화를 판정하는 분석 서버를 포함하는 PC 구조물 접합부 점검 시스템.","E04G 23/02, G05D 1/00, G06T 7/00","E04G 23/02","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020230090123","유지관리"
"10-2024-0012345","10-2025-0112345","","프리캐스트 중공기둥의 결로수 유도 배수 채널 구조","한국토목피씨(주)","2024-03-12","2025-09-01","","공개","중공기둥 내벽에 나선형 배수 채널을 형성하여 결로수를 하부 배수공으로 유도하는 구조이다. 결로수 체류에 의한 백태와 철근 부식을 방지하고 채널이 내부 점검 가이드 역할도 하는 효과가 있다.","중공기둥 내주면에 나선형으로 형성된 배수 채널과 채널 하단과 연통되는 배수공을 포함하는 중공기둥 결로수 유도 배수구조.","E04C 3/34, E04B 1/70","E04C 3/34","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020240012345","배수"
"10-2024-0023456","10-2025-0123456","","BIM 연동 PC 부재 생산 이력 품질관리 플랫폼","피씨스마트팩토리(주)","2024-06-05","2025-12-01","","공개","BIM 모델과 연동하여 PC 부재별 생산-검사-설치 이력을 통합 관리하는 품질관리 플랫폼이다. 부재 QR 코드로 현장에서 이력을 조회하고 부적합 부재를 추적하는 효과가 있다.","BIM 객체와 매핑된 부재 식별코드를 생성하는 단계와 생산 및 검사 데이터를 식별코드에 연계 저장하는 단계를 포함하는 PC 부재 품질관리 방법.","G06Q 50/08, G01N 33/38","G06Q 50/08","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020240023456","품질관리"
"10-2025-0034567","","","자기치유 콘크리트를 적용한 PC 접합부 수밀 구조","대한건설기술연구원","2025-02-18","","","공개","접합부 충전재에 자기치유 캡슐을 혼입하여 미세균열 발생 시 스스로 치유되는 수밀 구조이다. 균열을 통한 누수를 장기적으로 억제하여 지하 구조물 유지관리 부담을 줄이는 효과가 있다.","자기치유 캡슐이 혼입된 접합부 충전 모르타르와 접합면 지수재를 포함하는 PC 접합부 수밀 구조.","E04B 1/66, C04B 40/06","E04B 1/66","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020250034567","방수"
